unique_employee_ids,stillExists,companyAlias,is_train,vote_cnt,vote_avg,vote_std,vote_p50,vote_p75,votes_monday_cnt,votes_monday_avg,votes_monday_std,votes_monday_p50,votes_monday_p75,votes_friday_cnt,votes_friday_avg,votes_friday_std,votes_friday_p50,votes_friday_p75,acpt_likes_cnt,acpt_likes_avg,acpt_likes_std,acpt_likes_p50,acpt_likes_p75,acpt_dislikes_cnt,acpt_dislikes_avg,acpt_dislikes_std,acpt_dislikes_p50,acpt_dislikes_p75,len_txt_cnt,len_txt_avg,len_txt_std,len_txt_p50,len_txt_p75,comment_weekend_cnt,comment_weekday_cnt,comment_morning_cnt,comment_night_cnt,comment_lunch_cnt,gv_liked_cnt,gv_disliked_cnt,reaction_cnt,turn_over_rate,vote_company_cnt,vote_company_avg,vote_company_std,vote_company_p50,vote_company_p75,comment_per_emp_avg,comment_len_per_emp_avg,comment_per_emp_p50,comment_len_per_emp_p50,gv_liked_per_emp_avg,gv_disliked_per_emp_avg,gv_liked_per_emp_p50,gv_disliked_per_emp_p50
20_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,74.0,3.418918918918919,0.7403582390322434,4.0,4.0,13.0,3.0,0.816496580927726,3.0,4.0,18.0,3.6666666666666665,0.5940885257860045,4.0,4.0,140.0,5.857142857142857,3.30373982237969,5.5,8.0,70.0,7.3428571428571425,3.1295029669063705,7.0,9.0,144.0,67.31944444444444,55.741869208934716,47.5,102.5,0.0,144.0,52.0,0.0,38.0,254.0,39.0,293.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
21_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,191.0,2.549738219895288,1.0292498211165224,3.0,3.0,37.0,2.7027027027027026,0.8776504260070009,3.0,3.0,36.0,2.5555555555555554,1.2292725943057183,3.0,4.0,80.0,5.975,7.396501054424401,3.0,8.0,54.0,6.074074074074074,8.76065787969006,3.0,7.5,88.0,115.6590909090909,201.12178996609006,50.5,109.75,0.0,88.0,42.0,0.0,24.0,163.0,23.0,186.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
22_56aec740f1ef260003e307d6,False,56aec740f1ef260003e307d6,0,67.0,2.5074626865671643,0.9904564960442782,3.0,3.0,12.0,2.4166666666666665,0.90033663737852,3.0,3.0,8.0,2.375,0.9161253813129042,3.0,3.0,30.0,8.866666666666667,7.682193173438363,5.0,14.75,18.0,4.777777777777778,4.080881616910962,3.0,5.0,30.0,93.66666666666667,93.17293277716897,66.0,86.5,2.0,28.0,4.0,2.0,6.0,49.0,11.0,60.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
23_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,0,56.0,3.25,0.4767312946227962,3.0,4.0,9.0,3.2222222222222223,0.44095855184409843,3.0,3.0,8.0,3.25,0.7071067811865475,3.0,4.0,12.0,5.166666666666667,3.270622218625945,4.5,8.0,6.0,6.333333333333333,3.141125063837266,6.0,9.0,12.0,69.33333333333333,43.02501034458348,61.5,113.0,4.0,8.0,2.0,0.0,2.0,84.0,6.0,90.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
24_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,404.0,3.5445544554455446,0.6977418731830589,4.0,4.0,60.0,3.4166666666666665,0.7431419023347084,4.0,4.0,59.0,3.610169491525424,0.6437216455768906,4.0,4.0,156.0,6.128205128205129,4.69002778548472,5.0,8.0,78.0,7.205128205128205,5.153132887358772,6.0,10.0,168.0,47.23809523809524,35.976911773820916,35.0,61.0,14.0,154.0,106.0,6.0,20.0,1454.0,413.0,1867.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
25_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,100.0,2.4,1.214391812697811,3.0,3.0,20.0,2.55,1.1459310165698642,3.0,3.25,18.0,3.0,1.0846522890932806,3.0,4.0,2.0,25.0,0.0,25.0,25.0,0.0,,,,,2.0,58.0,0.0,58.0,58.0,0.0,2.0,0.0,0.0,2.0,77.0,12.0,89.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
26_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,262.0,2.3702290076335877,0.790479233515299,3.0,3.0,51.0,2.392156862745098,0.6950807542307302,3.0,3.0,51.0,2.2941176470588234,0.8785013977691516,2.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,,,,,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,67.0,16.0,83.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
538_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,14.0,4.0,0.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,22.0,6.818181818181818,4.676551065703214,5.0,8.75,10.0,8.0,4.570436400267362,6.0,9.0,22.0,110.54545454545455,50.45953331298758,116.0,157.75,2.0,20.0,0.0,10.0,6.0,116.0,14.0,130.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
27_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,124.0,3.967741935483871,0.25296562544743517,4.0,4.0,16.0,4.0,0.0,4.0,4.0,23.0,3.8260869565217392,0.5762081310400607,4.0,4.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,7.0,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
539_56aec740f1ef260003e307d6,True,56aec740f1ef260003e307d6,1,3.0,4.0,0.0,4.0,4.0,1.0,4.0,,4.0,4.0,0.0,,,,,2.0,5.0,0.0,5.0,5.0,2.0,5.0,0.0,5.0,5.0,2.0,46.0,0.0,46.0,46.0,0.0,2.0,0.0,0.0,0.0,,,,0.08713692946058094,17973,3.316140877983642,0.9488266188054612,4,4,40.49723756906077,3133.790055248619,24.0,1522.0,105.75490196078431,30.17156862745098,35.5,4.0
